Australia,All,,800,800,1,999999,0,999999,0,999999,Based on Zip/Postal Code,0
Australia,All,,801,801,1,999999,0,999999,0,999999,Based on Zip/Postal Code,0
Australia,All,,804,804,1,999999,0,999999,0,999999,Based on Zip/Postal Code,0
Australia,All,,810,810,1,999999,0,999999,0,999999,Based on Zip/Postal Code,0
Australia,All,,811,811,1,999999,0,999999,0,999999,Based on Zip/Postal Code,0
Australia,All,,812,812,1,999999,0,999999,0,999999,Based on Zip/Postal Code,0
Australia,All,,813,813,1,999999,0,999999,0,999999,Based on Zip/Postal Code,0
Australia,All,,814,814,1,999999,0,999999,0,999999,Based on Zip/Postal Code,0
Australia,All,,815,815,1,999999,0,999999,0,999999,Based on Zip/Postal Code,0
Australia,All,,820,820,1,999999,0,999999,0,999999,Based on Zip/Postal Code,0
Australia,All,,821,821,1,999999,0,999999,0,999999,Based on Zip/Postal Code,0
Australia,All,,822,822,1,999999,0,999999,0,999999,Based on Zip/Postal Code,0
Australia,All,,828,828,1,999999,0,999999,0,999999,Based on Zip/Postal Code,0
Australia,All,,830,830,1,999999,0,999999,0,999999,Based on Zip/Postal Code,0
Australia,All,,831,831,1,999999,0,999999,0,999999,Based on Zip/Postal Code,0
Australia,All,,832,832,1,999999,0,999999,0,999999,Based on Zip/Postal Code,0
Australia,All,,835,835,1,999999,0,999999,0,999999,Based on Zip/Postal Code,0
Australia,All,,836,836,1,999999,0,999999,0,999999,Based on Zip/Postal Code,0
Australia,All,,837,837,1,999999,0,999999,0,999999,Based on Zip/Postal Code,0
Australia,All,,845,845,1,999999,0,999999,0,999999,Based on Zip/Postal Code,0
Australia,All,,846,846,1,999999,0,999999,0,999999,Based on Zip/Postal Code,0
Australia,All,,847,847,1,999999,0,999999,0,999999,Based on Zip/Postal Code,0
Australia,All,,850,850,1,999999,0,999999,0,999999,Based on Zip/Postal Code,0
Australia,All,,851,851,1,999999,0,999999,0,999999,Based on Zip/Postal Code,0
Australia,All,,852,852,1,999999,0,999999,0,999999,Based on Zip/Postal Code,0
Australia,All,,853,853,1,999999,0,999999,0,999999,Based on Zip/Postal Code,0
Australia,All,,854,854,1,999999,0,999999,0,999999,Based on Zip/Postal Code,0
Australia,All,,860,860,1,999999,0,999999,0,999999,Based on Zip/Postal Code,0
Australia,All,,861,861,1,999999,0,999999,0,999999,Based on Zip/Postal Code,0
Australia,All,,862,862,1,999999,0,999999,0,999999,Based on Zip/Postal Code,0
Australia,All,,870,870,1,999999,0,999999,0,999999,Based on Zip/Postal Code,0
Australia,All,,871,871,1,999999,0,999999,0,999999,Based on Zip/Postal Code,0
